name,points
Jimmy Connors,5034
Roger Federer,4822
Ivan Lendl,4184
Rafael Nadal,4115
Novak Djokovic,4024
Guillermo Vilas,3827
Ilie Nastase,3686
Andre Agassi,3454
John McEnroe,3454
Stan Smith,3279
Arthur Ashe,3237
Stefan Edberg,3229
David Ferrer,3115
Manuel Orantes,3044
Brian Gottfried,2998
Pete Sampras,2989
Andy Murray,2872
Boris Becker,2811
Michael Chang,2786
Tomas Berdych,2767
Tom Okker,2730
John Alexander,2700
Richard Gasquet,2668
Roscoe Tanner,2602
Thomas Muster,2597
Fernando Verdasco,2594
Goran Ivanisevic,2590
Eddie Dibbs,2586
Harold Solomon,2584
Yevgeny Kafelnikov,2574
Bjorn Borg,2503
Lleyton Hewitt,2500
Marin Cilic,2492
Carlos Moya,2489
Tommy Haas,2482
Feliciano Lopez,2460
Andy Roddick,2458
Jaime Fillol,2421
Wojtek Fibak,2405
Tommy Robredo,2375
Raul Ramirez,2371
Stan Wawrinka,2368
Tomas Smid,2367
Mikhail Youzhny,2330
Gilles Simon,2310
Marty Riessen,2297
Mats Wilander,2296
Fabrice Santoro,2293
Gael Monfils,2292
John Newcombe,2288
Brad Gilbert,2276
Andres Gomez,2265
Philipp Kohlschreiber,2262
Vitas Gerulaitis,2249
Rod Laver,2234
Wayne Ferreira,2228
Nikolay Davydenko,2213
Ken Rosewall,2197
Jan Kodes,2160
Tim Henman,2158
Jim Courier,2125
John Isner,2124
Cliff Richey,2065
Juan Carlos Ferrero,2037
Marc Rosset,2033
Thomas Enqvist,2004
Sergi Bruguera,2001
Jakob Hlasek,1988
Jose Higueras,1987
Yannick Noah,1975
Jo-Wilfried Tsonga,1965
Jonas Bjorkman,1963
Phil Dent,1963
Greg Rusedski,1946
Fabio Fognini,1934
Alex Corretja,1932
Jarkko Nieminen,1926
Vijay Amritraj,1926
Emilio Sanchez,1924
Zeljko Franulovic,1919
Andreas Seppi,1915
Ivan Ljubicic,1914
Tom Gorman,1899
Francisco Clavet,1880
Onny Parun,1869
Balazs Taroczy,1852
Magnus Gustafsson,1849
Marat Safin,1845
Mark Cox,1839
Sam Querrey,1832
Nicolas Almagro,1832
Cedric Pioline,1813
Petr Korda,1810
Juan Martin del Potro,1804
Adriano Panatta,1799
Ivo Karlovic,1796
Dick Stockton,1788
Cliff Drysdale,1787
Kei Nishikori,1787
Raymond Moore,1786
Todd Martin,1782
Radek Stepanek,1774
Richard Krajicek,1768
Anders Jarryd,1767
Eliot Teltscher,1765
Albert Costa,1749
Roger Taylor,1747
Aaron Krickstein,1746
Guy Forget,1744
Grigor Dimitrov,1742
Roberto Bautista Agut,1731
Dominik Hrbaty,1718
Henri Leconte,1697
Marcelo Rios,1685
Thomas Johansson,1683
Jurgen Melzer,1681
Victor Pecci,1670
James Blake,1669
Nicolas Kiefer,1668
Rainer Schuettler,1651
Colin Dibley,1647
Sandy Mayer,1635
Juan Monaco,1625
Johan Kriek,1623
Dick Crealy,1621
Jose Luis Clerc,1616
Javier Sanchez,1615
David Nalbandian,1615
Marcos Baghdatis,1609
Michael Stich,1600
Kevin Anderson,1596
Vincent Spadea,1592
Fernando Gonzalez,1585
Milos Raonic,1582
Andrei Chesnokov,1581
Sebastien Grosjean,1574
Arnaud Clement,1562
Kevin Curren,1543
Mark Woodforde,1543
Wally Masur,1542
Brian Teacher,1540
Juan Ignacio Chela,1537
Ramesh Krishnan,1533
Jiri Novak,1532
Guillermo Garcia Lopez,1530
Gustavo Kuerten,1528
Bob Lutz,1523
Nicolas Lapentti,1521
Alexander Zverev,1519
Tony Roche,1515
Patrick Rafter,1511
Corrado Barazzutti,1506
Tim Mayotte,1490
Richey Reneberg,1476
Jeremy Chardy,1470
Jeff Borowiak,1470
Jason Stoltenberg,1455
David Goffin,1450
Bill Scanlon,1450
Clark Graebner,1441
Tim Wilkison,1440
Felix Mantilla,1429
Xavier Malisse,1428
Ross Case,1426
Dominic Thiem,1425
Andrei Medvedev,1422
Charlie Pasarell,1421
Albert Ramos,1412
Kim Warwick,1412
Andrew Pattison,1411
Paul Henri Mathieu,1410
Amos Mansdorf,1405
Gene Mayer,1404
Sjeng Schalken,1403
Karel Novacek,1402
Alexander Volkov,1402
Nikola Pilic,1402
Magnus Larsson,1398
Viktor Troicki,1394
Mark Philippoussis,1387
Andrei Pavel,1375
Janko Tipsarevic,1374
Julien Benneteau,1374
Adrian Mannarino,1368
Karol Kucera,1364
Mardy Fish,1359
Jan Siemerink,1346
Robin Soderling,1346
Jimmy Arias,1335
Kenneth Carlsen,1332
Buster C Mottram,1329
Martin Jaite,1326
Byron Black,1314
Richard Fromberg,1311
Ismail El Shafei,1296
Albert Montanes,1295
Paul Haarhuis,1287
Daniil Medvedev,1279
Alberto Berasategui,1277
Tim Gullikson,1274
Younes El Aynaoui,1271
Jeff Tarango,1260
Pablo Carreno Busta,1256
Nicolas Massu,1254
Bob Hewitt,1252
Benoit Paire,1248
Marcelo Filippini,1235
Gaston Gaudio,1231
Jaime Yzaga,1230
Hank Pfister,1226
Mark Edmondson,1226
Allan Stone,1223
Florian Mayer,1220
Karl Meiler,1208
Carlos Costa,1206
Jonas Svensson,1203
Geoff Masters,1198
Max Mirnyi,1196
Brian Fairlie,1194
Roy Emerson,1193
Paul Mcnamee,1192
Guillermo Canas,1191
Stefanos Tsitsipas,1190
Olivier Rochus,1187
Robin Haase,1185
Ernests Gulbis,1178
Malivai Washington,1172
Pablo Cuevas,1168
Igor Andreev,1166
Denis Istomin,1165
Terry Moor,1165
Bohdan Ulihrach,1164
Ronald Agenor,1163
John Fitzgerald,1159
Todd Woodbridge,1158
Thierry Tulasne,1154
Heinz Gunthardt,1150
Paradorn Srichaphan,1148
Andrey Rublev,1143
John Lloyd,1141
Diego Perez,1139
Alberto Martin,1137
Diego Schwartzman,1133
Ray Ruffels,1127
Dmitry Tursunov,1125
Joakim Nystrom,1120
Ion Tiriac,1117
Joao Sousa,1113
Magnus Norman,1112
Renzo Furlan,1109
Horst Skoff,1108
Peter Fleming,1107
Gilles Muller,1106
Patrick Proisy,1106
Alex Metreveli,1103
Arnaud Boetsch,1095
Stefan Koubek,1089
Andrea Gaudenzi,1089
Jordi Arrese,1087
Bob Carmichael,1082
Miloslav Mecir,1078
Hicham Arazi,1077
Alexandr Dolgopolov,1070
Chris Lewis,1069
David Wheaton,1063
Tom Gullikson,1062
Bernard Mitton,1059
Guillermo Perez Roldan,1057
Barry Phillips Moore,1056
Georges Goven,1052
Karen Khachanov,1051
Victor Hanescu,1050
Andres Gimeno,1050
Marcel Granollers,1046
Carl Uwe Steeb,1042
Pat Cash,1028
Thomaz Bellucci,1025
Agustin Calleri,1023
John Sadri,1019
Frew Mcmillan,1017
Mariano Zabaleta,1012
Thomaz Koch,1009
Fernando Meligeni,1008
Hans Gildemeister,1004
Juan Gisbert,1001
Scott Davis,999
Jan Michael Gambill,997
Erik Van Dillen,991
Tomas Carbonell,985
Steve Johnson,983
Michael Llodra,982
Andrei Cherkasov,978
Jan Lennard Struff,973
Francois Jauffret,972
Filippo Volandri,970
Guillaume Raoux,966
Taylor Fritz,965
Slava Dosedel,963
Gianluca Pozzi,963
Robby Ginepri,962
Borna Coric,958
Jose Acasuso,955
Brad Drewett,949
Jan Gunnarsson,946
Nicolas Mahut,945
Horacio De La Pena,942
Dusan Lajovic,929
Davide Sanguinetti,928
Guillermo Coria,928
Pablo Andujar,924
Mikhail Kukushkin,923
Daniel Vacek,922
Gerald Battrick,921
Leonardo Mayer,920
Paolo Bertolucci,920
Sherwood Stewart,920
Hans Kary,919
Mario Ancic,919
Pat Dupre,917
Derrick Rostagno,917
Peter Mcnamara,914
Luiz Mattar,913
Jurgen Fassbender,913
Jim Grabb,912
Mel Purcell,908
Yen Hsun Lu,908
Jiri Hrebec,906
Nick Kyrgios,902
Bernard Tomic,901
Victor Amaya,897
Pierre Barthes,897
Sergiy Stakhovsky,893
Pablo Arraya,891
Ivan Molina,891
David Prinosil,891
Patricio Cornejo,884
Shlomo Glickstein,883
David Pate,882
Santiago Giraldo,875
Patrice Dominguez,872
Federico Delbonis,869
Fernando Luna,865
Jack Sock,861
Michiel Schapers,856
Marc Kevin Goellner,845
Fred Stolle,844
Potito Starace,844
Brett Steven,843
Benjamin Becker,842
Fernando Vicente,841
Sargis Sargsian,833
Martin Damm Sr,831
Nick Saviano,830
Denis Shapovalov,827
Karim Alami,822
Casper Ruud,820
Cameron Norrie,818
Nicklas Kulti,816
Christo Van Rensburg,812
Christian Bergstrom,806
Alex De Minaur,803
Javier Frana,803
Russell Simpson,803
Sammy Giammalva Jr,801
Frances Tiafoe,795
Franco Davin,793
Haroon Rahim,792
Marty Davis,791
Nicolas Escude,784
Albert Portas,784
Franco Squillari,779
Hyung Taik Lee,778
Felix Auger Aliassime,777
Billy Martin,776
Carlos Kirmayr,772
Ricardo Cano,769
Dudi Sela,765
Jairo Velasco,763
Carlos Berlocq,761
Pavel Slozil,755
Shuzo Matsuoka,755
Mischa Zverev,753
Jimmy Brown,752
Nikoloz Basilashvili,750
Jim Mcmanus,746
Paul Annacone,743
Taylor Dent,743
Omar Camporese,741
Jiri Vesely,738
Martin Klizan,730
Jerome Golmard,727
Slobodan Zivojinovic,724
Dennis Ralston,722
Steve Krulevitz,720
Jeremy Bates,716
Ulrich Pinner,715
Juan Aguilera,715
Vasek Pospisil,714
Patrick McEnroe,713
Aljaz Bedene,712
Christophe Rochus,712
Adrian Voinea,711
Syd Ball,706
Jonathan Stark,703
Luis Horna,700
Bernd Karbacher,699
Alberto Mancini,698
Donald Young,694
Henrik Sundstrom,694
Bruce Manson,692
Butch Walts,691
Kelly Evernden,688
Daniel Evans,686
Olivier Delaitre,686
Wayne Arthurs,685
Hubert Hurkacz,681
Ricardas Berankis,680
Marton Fucsovics,679
Simone Bolelli,678
Kent Carlsson,675
Galo Blanco,674
Teymuraz Gabashvili,673
Patrik Kuhnen,665
Mike Estep,664
Paul Kronk,664
Jannik Sinner,661
Florent Serra,661
Nicola Spear,660
Colin Dowdeswell,658
Lucas Pouille,657
Paolo Cane,655
Anand Amritraj,653
Cassio Motta,652
Matteo Berrettini,651
Richard Gonzalez,650
Eric Jelen,648
Jacco Eltingh,647
Mikael Pernfors,647
Lukas Rosol,647
Kjell Johansson,647
Andrei Olhovskiy,646
Guido Pella,645
Milan Holecek,644
Christian Ruud,643
Antonio Zugarelli,642
Trey Waltke,641
Ryan Harrison,639
Milan Srejber,634
Paolo Lorenzi,633
Mark Dickson,629
Filip Krajinovic,628
Sergio Casal,628
Mariano Puerta,627
John Millman,627
Francisco Gonzalez,627
Alejandro Falla,625
Vladimir Zednik,624
Justin Gimelstob,624
Hans Jurgen Pohmann,624
Damir Dzumhur,623
Claudio Mezzadri,622
Darren Cahill,619
Jay Berger,617
Libor Pimek,617
Paul Gerken,616
Marian Vajda,614
Goran Prpic,613
Kyle Edmund,613
Antonio Munoz,613
Rolf Gehring,609
Ivan Dodig,608
Marcos Ondruska,608
Andreas Maurer,607
Jean Philippe Fleurian,605
Byron Bertram,604
Peter Lundgren,603
Hernan Gumy,601
Steve Darcis,599
Thierry Champion,596
Stefano Pescosolido,594
Gilbert Schaller,592
Todd Witsken,590
Rod Frawley,589
Peter Feigl,586
Robert Maud,584
Daniel Gimeno Traver,584
Sashi Menon,583
Dan Goldie,581
Robert Lutz,581
Francesco Cancellotti,579
Diego Nargiso,577
Jim Osborne,574
Joaquin Loyo Mayo,573
Alex Antonitsch,573
Mike Cahill,570
Claudio Panatta,570
Fritz Buehning,568
Graham Stilwell,568
Harald Elschenbroich,567
Tom Edlefsen,567
Laslo Djere,566
Ove Bengtson,559
Alexander Bublik,558
Bryan Shelton,557
Van Winitsky,557
Vincent Van Patten,556
Lorenzo Sonego,556
Bill Bowrey,555
Pedro Rebolledo,553
Scott Draper,549
Chip Hooper,546
Stefan Simonsson,544
Cristian Garin,543
Malek Jaziri,542
Sebastien Lareau,542
Lawson Duncan,542
John James,541
Lukas Lacko,541
Mikael Tillstrom,539
Yoshihito Nishioka,538
Miomir Kecmanovic,537
Eduardo Bengoechea,535
John Yuill,535
Gianni Ocleppo,534
Pascal Portes,534
Steve Denton,533
Alex Obrien,533
Radu Albot,532
Chris Woodruff,530
Lukasz Kubot,524
Thomas Hogstedt,524
Bob Giltinan,524
Igor Kunitsyn,523
Jaime Pinto Bravo,521
Tommy Paul,521
Lars Burgsmuller,518
Ian Fletcher,518
Michael Berrer,517
Hendrik Dreekmann,516
Sandon Stolle,516
Pierre Hugues Herbert,514
Simon Youl,513
Carlos Alcaraz,512
Filip Dewulf,511
Jordi Burillo,511
Ramon Delgado,508
Jun Kuki,499
Nduka Odizor,498
Horacio Zeballos,498
Belus Prajoux,497
Marko Ostoja,496
Damir Keretic,496
Jordan Thompson,495
Raemon Sluiter,495
Danie Visser,494
Gilad Bloom,493
Jose Edison Mandarino,490
Marc Gicquel,490
John Feaver,490
Lars Jonsson,489
Eddie Edwards,487
Peter Elter,486
Henrik Holm,486
Jerzy Janowicz,481
Michael Russell,481
Martin Mulligan,480
Kristof Vliegen,477
Antony Dupuis,474
David Sanchez,474
Leander Paes,472
Bjorn Phau,472
Nicolas Pereira,469
Jean Francois Caujolle,469
Roberto Carballes Baena,467
Paul Goldstein,466
Fred Mcnair,465
Andrew Ilie,464
Grant Stafford,463
Daniel Nestor,461
Philipp Petzschner,461
Gary Muller,459
George Hardie,457
Jim Delaney,456
Angel Gimenez,456
Michael Westphal,449
Andreas Vinciguerra,448
Edouard Roger Vasselin,448
Ben Testerman,448
Frank Froehling,447
Jan Hernych,445
Mackenzie Mcdonald,444
Matthew Ebden,443
Marco Cecchinato,442
Owen Davidson,441
Earl Butch Buchholz,441
Juan Antonio Marin,438
Broderick Dyke,438
Thiago Monteiro,436
Robert Vant Hof,436
Manuel Santana,436
Marcos Hocevar,435
Leonardo Lavalle,434
Glenn Michibata,434
Lionel Roux,434
Reilly Opelka,433
Torben Ulrich,432
Claudio Pistolesi,431
Ruben Ramirez Hidalgo,430
Cyril Saulnier,430
Ferdi Taygan,429
Chuck Adams,428
Emil Ruusuvuori,428
Robert Seguso,427
Jim Pugh,426
Frantisek Pala,424
Wayne Black,424
Mario Martinez,423
Cliff Letcher,422
Matt Anger,422
David Carter,422
Taro Daniel,421
Marcello Lara,419
Ilya Ivashka,416
Jaime Oncins,415
Jiri Vanek,415
Greg Holmes,414
Jay Lapidus,414
Andrey Golubev,412
Richard Lewis,411
Alejandro Davidovich Fokina,409
Cristiano Caratti,409
Ugo Humbert,408
Christophe Roger Vasselin,408
Grant Connell,407
Mike Leach,407
Ricardo Ycaza,406
