name,points
Jimmy Connors,4139
Roger Federer,4075
Ivan Lendl,3467
Rafael Nadal,3464
Novak Djokovic,3427
Guillermo Vilas,3133
Ilie Nastase,3090
Andre Agassi,2891
John McEnroe,2859
Stan Smith,2728
Arthur Ashe,2688
Stefan Edberg,2685
David Ferrer,2599
Pete Sampras,2528
Manuel Orantes,2491
Andy Murray,2450
Brian Gottfried,2438
Boris Becker,2373
Michael Chang,2306
Tomas Berdych,2274
Tom Okker,2271
John Alexander,2214
Richard Gasquet,2200
Thomas Muster,2159
Yevgeny Kafelnikov,2146
Goran Ivanisevic,2145
Fernando Verdasco,2125
Lleyton Hewitt,2121
Roscoe Tanner,2114
Bjorn Borg,2108
Harold Solomon,2102
Marin Cilic,2089
Eddie Dibbs,2089
Tommy Haas,2063
Carlos Moya,2056
Andy Roddick,2051
Feliciano Lopez,2028
Stan Wawrinka,2009
Jaime Fillol,1986
Tommy Robredo,1964
Wojtek Fibak,1949
John Newcombe,1935
Mats Wilander,1933
Raul Ramirez,1928
Gilles Simon,1920
Mikhail Youzhny,1920
Tomas Smid,1910
Gael Monfils,1897
Rod Laver,1887
Marty Riessen,1885
Andres Gomez,1869
Wayne Ferreira,1867
Vitas Gerulaitis,1854
Fabrice Santoro,1854
Brad Gilbert,1848
Philipp Kohlschreiber,1846
Ken Rosewall,1824
Jan Kodes,1801
Nikolay Davydenko,1790
Tim Henman,1775
John Isner,1766
Jim Courier,1761
Juan Carlos Ferrero,1699
Cliff Richey,1691
Jo-Wilfried Tsonga,1660
Yannick Noah,1660
Marc Rosset,1657
Jakob Hlasek,1653
Thomas Enqvist,1646
Phil Dent,1615
Jose Higueras,1615
Sergi Bruguera,1613
Fabio Fognini,1611
Jonas Bjorkman,1610
Greg Rusedski,1604
Alex Corretja,1601
Zeljko Franulovic,1593
Emilio Sanchez,1591
Ivan Ljubicic,1588
Andreas Seppi,1586
Jarkko Nieminen,1583
Tom Gorman,1571
Vijay Amritraj,1569
Onny Parun,1549
Marat Safin,1541
Balazs Taroczy,1528
Kei Nishikori,1519
Mark Cox,1516
Francisco Clavet,1513
Juan Martin del Potro,1507
Magnus Gustafsson,1506
Adriano Panatta,1501
Sam Querrey,1492
Petr Korda,1490
Cedric Pioline,1488
Raymond Moore,1486
Nicolas Almagro,1479
Todd Martin,1473
Cliff Drysdale,1468
Ivo Karlovic,1465
Richard Krajicek,1463
Radek Stepanek,1462
Grigor Dimitrov,1453
Anders Jarryd,1452
Dick Stockton,1444
Aaron Krickstein,1443
Roger Taylor,1442
Albert Costa,1438
Guy Forget,1434
Roberto Bautista Agut,1429
Eliot Teltscher,1424
Henri Leconte,1404
Dominik Hrbaty,1401
Jurgen Melzer,1395
Thomas Johansson,1380
Nicolas Kiefer,1377
Marcelo Rios,1374
Victor Pecci,1364
Johan Kriek,1363
James Blake,1362
Colin Dibley,1352
David Nalbandian,1345
Dick Crealy,1343
Michael Stich,1336
Rainer Schuettler,1326
Kevin Anderson,1324
Marcos Baghdatis,1324
Fernando Gonzalez,1323
Sandy Mayer,1322
Milos Raonic,1321
Javier Sanchez,1315
Andrei Chesnokov,1304
Juan Monaco,1303
Jose Luis Clerc,1300
Vincent Spadea,1295
Tony Roche,1289
Arnaud Clement,1282
Jiri Novak,1282
Gustavo Kuerten,1278
Sebastien Grosjean,1274
Wally Masur,1273
Patrick Rafter,1269
Mark Woodforde,1269
Nicolas Lapentti,1268
Juan Ignacio Chela,1261
Ramesh Krishnan,1260
Kevin Curren,1260
Alexander Zverev,1259
Brian Teacher,1252
Guillermo Garcia Lopez,1251
Bob Lutz,1236
Corrado Barazzutti,1235
Tim Mayotte,1227
David Goffin,1223
Jeremy Chardy,1206
Dominic Thiem,1203
Richey Reneberg,1190
Clark Graebner,1189
Nikola Pilic,1187
Jason Stoltenberg,1182
Charlie Pasarell,1182
Andrei Medvedev,1181
Bill Scanlon,1180
Jeff Borowiak,1180
Tim Wilkison,1180
Ross Case,1169
Magnus Larsson,1168
Alexander Volkov,1168
Viktor Troicki,1165
Felix Mantilla,1163
Amos Mansdorf,1160
Andrew Pattison,1158
Xavier Malisse,1156
Sjeng Schalken,1153
Mark Philippoussis,1152
Kim Warwick,1149
Karel Novacek,1146
Paul Henri Mathieu,1136
Albert Ramos,1133
Mardy Fish,1132
Janko Tipsarevic,1128
Karol Kucera,1124
Gene Mayer,1119
Julien Benneteau,1116
Andrei Pavel,1110
Robin Soderling,1102
Kenneth Carlsen,1099
Adrian Mannarino,1099
Jan Siemerink,1097
Byron Black,1087
Jimmy Arias,1087
Martin Jaite,1082
Buster C Mottram,1080
Paul Haarhuis,1062
Richard Fromberg,1062
Albert Montanes,1058
Bob Hewitt,1055
Daniil Medvedev,1055
Tim Gullikson,1052
Ismail El Shafei,1049
Younes El Aynaoui,1042
Alberto Berasategui,1036
Jaime Yzaga,1025
Pablo Carreno Busta,1023
Benoit Paire,1018
Mark Edmondson,1017
Nicolas Massu,1015
Jeff Tarango,1014
Gaston Gaudio,1012
Marcelo Filippini,999
Allan Stone,999
Florian Mayer,996
Roy Emerson,995
Hank Pfister,993
Olivier Rochus,991
Jonas Svensson,987
Stefanos Tsitsipas,980
Karl Meiler,979
Geoff Masters,978
Ernests Gulbis,977
Max Mirnyi,977
Brian Fairlie,977
Todd Woodbridge,972
Paul Mcnamee,970
Robin Haase,968
Alex Metreveli,963
Denis Istomin,960
Guillermo Canas,960
John Fitzgerald,955
Carlos Costa,952
Andrey Rublev,952
Heinz Gunthardt,951
Malivai Washington,948
Paradorn Srichaphan,947
Pablo Cuevas,946
Igor Andreev,945
Diego Schwartzman,944
Ray Ruffels,941
Terry Moor,939
Joakim Nystrom,939
Ronald Agenor,938
Bohdan Ulihrach,938
Ion Tiriac,930
John Lloyd,929
Alberto Martin,926
Dmitry Tursunov,925
Diego Perez,917
Magnus Norman,915
Renzo Furlan,914
Joao Sousa,911
Thierry Tulasne,911
Gilles Muller,909
Miloslav Mecir,906
Arnaud Boetsch,901
Stefan Koubek,899
Patrick Proisy,897
Andres Gimeno,892
Horst Skoff,891
Andrea Gaudenzi,891
Hicham Arazi,889
Bob Carmichael,888
David Wheaton,887
Peter Fleming,886
Jordi Arrese,885
Barry Phillips Moore,885
Tom Gullikson,872
Chris Lewis,871
Karen Khachanov,868
Alexandr Dolgopolov,863
Georges Goven,863
Pat Cash,863
Guillermo Perez Roldan,860
Marcel Granollers,859
Carl Uwe Steeb,849
Bernard Mitton,849
Victor Hanescu,847
Thomaz Koch,832
Frew Mcmillan,832
John Sadri,831
Hans Gildemeister,829
Thomaz Bellucci,828
Fernando Meligeni,826
Juan Gisbert,825
Mariano Zabaleta,823
Agustin Calleri,819
Scott Davis,816
Erik Van Dillen,813
Francois Jauffret,812
Jan Michael Gambill,807
Tomas Carbonell,805
Steve Johnson,799
Taylor Fritz,795
Andrei Cherkasov,793
Borna Coric,786
Gianluca Pozzi,785
Michael Llodra,784
Slava Dosedel,782
Jan Lennard Struff,781
Jan Gunnarsson,773
Guillermo Coria,773
Robby Ginepri,771
Nicolas Mahut,769
Brad Drewett,768
Paolo Bertolucci,767
Dusan Lajovic,765
Jose Acasuso,762
Guillaume Raoux,762
Mario Ancic,760
Derrick Rostagno,760
Pierre Barthes,760
Peter Mcnamara,759
Filippo Volandri,759
Hans Kary,758
Daniel Vacek,757
Gerald Battrick,754
Davide Sanguinetti,754
Luiz Mattar,754
Horacio De La Pena,750
Mikhail Kukushkin,749
Nick Kyrgios,748
Jiri Hrebec,747
Sherwood Stewart,745
Bernard Tomic,743
Jurgen Fassbender,739
Pablo Andujar,738
Leonardo Mayer,738
Jim Grabb,736
Pat Dupre,735
Mel Purcell,734
Sergiy Stakhovsky,734
Victor Amaya,734
Patricio Cornejo,730
Shlomo Glickstein,729
David Prinosil,728
Yen Hsun Lu,722
Ivan Molina,718
Pablo Arraya,717
Patrice Dominguez,717
David Pate,711
Santiago Giraldo,706
Jack Sock,700
Fernando Luna,696
Fred Stolle,695
Federico Delbonis,695
Brett Steven,693
Michiel Schapers,692
Fernando Vicente,690
Denis Shapovalov,688
Martin Damm Sr,686
Benjamin Becker,683
Sargis Sargsian,680
Potito Starace,679
Karim Alami,678
Marc Kevin Goellner,675
Casper Ruud,674
Nick Saviano,673
Cameron Norrie,673
Alex De Minaur,661
Christo Van Rensburg,658
Javier Frana,654
Hyung Taik Lee,651
Russell Simpson,651
Christian Bergstrom,650
Sammy Giammalva Jr,649
Frances Tiafoe,649
Nicolas Escude,648
Nicklas Kulti,647
Felix Auger Aliassime,636
Franco Squillari,633
Carlos Kirmayr,628
Ricardo Cano,627
Haroon Rahim,626
Marty Davis,626
Albert Portas,624
Jairo Velasco,624
Dudi Sela,620
Franco Davin,618
Jim Mcmanus,614
Billy Martin,613
Paul Annacone,611
Nikoloz Basilashvili,610
Shuzo Matsuoka,609
Dennis Ralston,607
Omar Camporese,607
Slobodan Zivojinovic,606
Mischa Zverev,602
Carlos Berlocq,602
Pavel Slozil,600
Martin Klizan,597
Taylor Dent,597
Jimmy Brown,594
Jiri Vesely,588
Patrick McEnroe,584
Adrian Voinea,584
Steve Krulevitz,583
Ulrich Pinner,583
Juan Aguilera,582
Jeremy Bates,582
Vasek Pospisil,579
Jerome Golmard,579
Alberto Mancini,576
Aljaz Bedene,575
Christophe Rochus,573
Henrik Sundstrom,570
Luis Horna,570
Olivier Delaitre,569
Bernd Karbacher,569
Donald Young,568
Syd Ball,563
Wayne Arthurs,562
Marton Fucsovics,560
Jonathan Stark,559
Daniel Evans,559
Bruce Manson,558
Kelly Evernden,558
Hubert Hurkacz,555
Butch Walts,555
Jannik Sinner,555
Ricardas Berankis,553
Richard Gonzalez,552
Lucas Pouille,552
Teymuraz Gabashvili,548
Mike Estep,545
Eric Jelen,542
Galo Blanco,541
Matteo Berrettini,540
Paolo Cane,540
Florent Serra,539
Colin Dowdeswell,539
Kent Carlsson,538
Simone Bolelli,537
Mikael Pernfors,537
Patrik Kuhnen,537
Cassio Motta,534
Paul Kronk,532
Lukas Rosol,532
Anand Amritraj,528
Jacco Eltingh,528
Darren Cahill,527
Guido Pella,526
Milan Holecek,525
Sergio Casal,523
Kjell Johansson,523
Nicola Spear,519
Damir Dzumhur,519
Andrei Olhovskiy,519
Ryan Harrison,519
Christian Ruud,518
Trey Waltke,517
Hans Jurgen Pohmann,516
Paolo Lorenzi,515
Antonio Zugarelli,514
Milan Srejber,513
Francisco Gonzalez,512
Marian Vajda,512
John Millman,512
Rolf Gehring,511
Alejandro Falla,511
Jay Berger,509
Filip Krajinovic,507
Antonio Munoz,505
Vladimir Zednik,505
Mariano Puerta,503
Mark Dickson,502
Paul Gerken,502
Marcos Ondruska,501
Libor Pimek,499
Goran Prpic,499
Robert Maud,496
Byron Bertram,495
Ivan Dodig,494
Steve Darcis,494
Justin Gimelstob,493
Peter Lundgren,493
Sashi Menon,493
Andreas Maurer,492
Claudio Mezzadri,490
Kyle Edmund,489
Robert Lutz,487
Joaquin Loyo Mayo,486
Stefano Pescosolido,486
Graham Stilwell,485
Rod Frawley,484
Dan Goldie,483
Peter Feigl,482
Todd Witsken,480
Jean Philippe Fleurian,477
Gilbert Schaller,477
Harald Elschenbroich,476
Hernan Gumy,475
Thierry Champion,470
Francesco Cancellotti,466
Alex Antonitsch,465
Bill Bowrey,464
Laslo Djere,464
Alexander Bublik,464
Daniel Gimeno Traver,464
Tom Edlefsen,461
Fritz Buehning,460
Claudio Panatta,458
Jim Osborne,458
Mike Cahill,456
Diego Nargiso,455
Scott Draper,453
Cristian Garin,452
Mikael Tillstrom,452
Van Winitsky,451
Bryan Shelton,450
Pedro Rebolledo,449
Ove Bengtson,449
Lorenzo Sonego,444
Vincent Van Patten,444
Malek Jaziri,443
Steve Denton,443
Lukas Lacko,442
Radu Albot,440
Bob Giltinan,439
Yoshihito Nishioka,439
John James,438
Sebastien Lareau,438
Gianni Ocleppo,437
Miomir Kecmanovic,436
Ramon Delgado,435
Chris Woodruff,434
Chip Hooper,431
Pascal Portes,430
Tommy Paul,428
John Yuill,428
Lukasz Kubot,427
Eduardo Bengoechea,426
Carlos Alcaraz,425
Lawson Duncan,425
Martin Mulligan,425
Jaime Pinto Bravo,424
Stefan Simonsson,424
Ian Fletcher,424
Thomas Hogstedt,423
Sandon Stolle,423
Lars Burgsmuller,422
Simon Youl,420
Igor Kunitsyn,419
Alex Obrien,418
Jose Edison Mandarino,416
Nduka Odizor,416
Filip Dewulf,416
Pierre Hugues Herbert,414
Hendrik Dreekmann,411
Jordan Thompson,409
Michael Berrer,409
Damir Keretic,409
Jordi Burillo,406
Horacio Zeballos,406
Marko Ostoja,406
Danie Visser,405
Jerzy Janowicz,402
Gilad Bloom,401
Raemon Sluiter,401
Leander Paes,400
Henrik Holm,399
Peter Elter,398
Belus Prajoux,396
Jun Kuki,395
Eddie Edwards,394
Manuel Santana,393
Lars Jonsson,390
Kristof Vliegen,390
Marc Gicquel,389
John Feaver,388
Antony Dupuis,386
Andrew Ilie,384
Nicolas Pereira,382
Michael Russell,381
David Sanchez,380
Fred Mcnair,380
Roberto Carballes Baena,379
Bjorn Phau,378
Daniel Nestor,377
George Hardie,375
Earl Butch Buchholz,375
Philipp Petzschner,374
Jean Francois Caujolle,373
Gary Muller,373
Angel Gimenez,373
Frank Froehling,370
Leonardo Lavalle,370
Paul Goldstein,370
Michael Westphal,368
Grant Stafford,367
Owen Davidson,365
Matthew Ebden,365
Jim Delaney,365
Andreas Vinciguerra,364
Juan Antonio Marin,363
Ben Testerman,363
Marcos Hocevar,363
Mackenzie Mcdonald,358
Marco Cecchinato,358
Torben Ulrich,357
Edouard Roger Vasselin,356
Robert Seguso,355
Broderick Dyke,355
Jan Hernych,355
Robert Vant Hof,354
Frantisek Pala,354
Matt Anger,352
Reilly Opelka,351
Jim Pugh,350
Mario Martinez,349
David Carter,347
Marcello Lara,347
Wayne Black,347
John Cooper,346
Thiago Monteiro,345
Lionel Roux,345
Emil Ruusuvuori,345
Ferdi Taygan,343
Glenn Michibata,343
Cliff Letcher,343
Claudio Pistolesi,342
Denis Kudla,342
Chuck Adams,342
Taro Daniel,341
Ilya Ivashka,341
Christophe Roger Vasselin,339
Greg Holmes,338
Richard Lewis,338
Ruben Ramirez Hidalgo,337
Andrey Kuznetsov,337
Ricardo Acuna,336
Cyril Saulnier,336
Jun Kamiwazumi,336
Glenn Layendecker,335
Ricardo Ycaza,334
Alejandro Davidovich Fokina,334
Jay Lapidus,334
Cristiano Caratti,333
Ugo Humbert,331
Peter Gojowczyk,327
Jiri Vanek,326
Mike Belkin,326
Christian Saceanu,325
Mal Anderson,325
Grant Connell,325
Jan Kroslak,324
Jaime Oncins,323
Hyeon Chung,321
Mike Leach,321
Nicolas Jarry,321
Oscar Hernandez,320
Evgeny Korolev,320
Victor Estrella,319
Frank Dancevic,318
Jaume Munar,318
Alex Bogomolov Jr,318
Andrey Golubev,318
Michel Kratochvil,317
Rodolphe Gilbert,317
Alex Calatrava,316
Mike Bauer,316
Terry Addison,315
Leif Shiras,315
Tarik Benhabiles,314
Mike De Palmer,313
Vladimir Voltchkov,313
Roy Barth,312
Lorenzo Musetti,312
Karol Beck,311
Flavio Saretta,311
Stanislav Birner,309
Patrick Baur,308
Holger Rune,308
Jean Baptiste Chanfreau,307
Arnaud Di Pasquale,305
Markus Zoecke,304
Thiemo De Bakker,304
Mark Koevermans,300
Lito Alvarez,300
Jonathan Canter,300
Karsten Braasch,300
Jose Lopez Maeso,299
Boro Jovanovic,298
Ray Keldie,297
Roland Stadler,296
Tom Leonard,296
John Frawley,296
Lloyd Bourne,295
Peter Szoke,294
Alexander Mronz,293
Tobias Kamke,292
Mikael Ymer,291
Illya Marchenko,290
Sebastian Korda,290
Jared Palmer,290
Eric Deblicker,289
Nicholas Kalogeropoulos,289
Lloyd Harris,289
Hans Joachim Ploetz,289
Francisco Roig,288
Harel Levy,288
Marinko Matosevic,287
Marius Copil,287
John Van Lottum,286
Dustin Brown,285
Cecil Mamiit,285
Marcos Giron,285
Pat Cramer,284
Matt Mitchell,283
Richard Russell,283
Evgeny Donskoy,282
Szabolcz Baranyi,280
Frederico Gil,277
Joachim Johansson,277
Markus Hipfl,277
Jean Loup Rouyer,277
Mark Kratzmann,276
Michael Tebbutt,276
Butch Seewagen,275
Hans Schwaier,275
Ricardo Mello,274
Istvan Gulyas,274
Daniel Brands,273
Premjit Lall,272
Louk Sanders,271
Somdev Devvarman,270
Gilles Moretton,270
Nuno Marques,270
Julien Boutter,270
Dominique Bedel,268
Matt Doyle,268
Roberto Arguello,267
Aslan Karatsev,265
Rajeev Ram,265
Jamie Morgan,264
Blaz Kavcic,264
Dick Dell,261
Go Soeda,260
Jose Luis Damiani,260
Jan Kukal,259
Christian Miniussi,259
Julian Ganzabal,259
Ricki Osterthun,259
Ramiro Benavides,258
Yuichi Sugita,258
Florin Segarceanu,257
Botic Van De Zandschulp,256
David Rikl,256
Jorge Andrew,255
Martin Wostenholme,255
Wanaro N'Godrella,255
Charles Owens,254
Marco Chiudinelli,254
Jerome Potier,254
Rick Fisher,252
Mauricio Hadad,252
Wilhelm Bungert,251
Kristian Pless,251
Per Hjertquist,251
Danai Udomchoke,251
Martin Verkerk,250
James Duckworth,250
Todd Nelson,249
Gabriel Markus,249
John Austin,248
Andre Sa,248
Joey Rive,248
Andrew Sznajder,248
Jeff Simpson,248
Bruno Oresar,247
Jean Rene Lisnard,246
Alexei Popyrin,246
Larry Stefanki,246
Marcel Freeman,245
Thanasi Kokkinakis,245
Christian Kuhnke,245
Jeff Austin,245
Soon Woo Kwon,244
Wesley Moodie,244
Jean Louis Haillet,244
George Bastl,243
Richard Matuszewski,242
Luis Herrera,242
Chris Pridham,242
Johan Carlsson,242
Bernard Fritz,241
Igor Sijsling,240
Rick Fagel,240
Tony Giammalva,240
Irakli Labadze,239
Egor Gerasimov,238
Paul Chamberlin,238
Terry Ryan,238
Roberto Azar,237
Grover Raz Reid,237
Ken Flach,236
Eric Fromm,236
John Bartlett,235
Joao Cunha Silva,234
Brandon Nakashima,234
Klaus Eberhard,233
Johan Van Herck,232
Peter Doohan,232
Kelly Jones,231
Alvin Gardiner,229
Kevin Kim,229
Joao Soares,229
Martin Sinner,228
Christophe Freyss,227
Juan Albert Viloca Puig,227
Tomas Zib,226
Oliver Gross,226
Ron Holmberg,224
Henri Laaksonen,223
Robbie Weiss,223
Paul Capdeville,223
Martin Vassallo Arguello,222
Peter Curtis,221
Julian Alonso,220
Bernard Mignot,220
Tom Nijssen,219
Oleg Ogorodov,219
Pedro Martinez,218
Shahar Perkiss,217
Tennys Sandgren,216
Francisco Cerundolo,216
Stephane Simian,215
Mark Knowles,215
Ingo Buding,215
Andreas Haider Maurer,214
Steve Docherty,214
Eduardo Masso,214
Tim Smyczek,214
Bart Wuyts,213
Jens Knippschild,213
Peter Luczak,212
John Whitlinger,212
Roger Smith,210
Jared Donaldson,209
Nicklas Kroon,209
Richard Meyer,208
Corentin Moutet,208
Udo Riglewski,208
Jan Leschly,208
Veli Paloheimo,208
Francisco Maciel,207
Peter Rennert,207
Alejandro Ganzabal,206
Simon Greul,205
Zoltan Kuharszky,205
Michael Joyce,205
Toshiro Sakai,204
Bernard Boileau,204
Nicola Pietrangeli,204
Dennis Van Scheppingen,202
Brad Pearce,202
Emilio Benfele Alvarez,202
Teimuraz Kakulia,201
Zan Guerry,201
Jan Apell,200
Chris Guccione,200
Ulf Stenlund,200
Tomas Behrend,200
Hans Simonsson,200
Alexander Popp,200
Alejandro Olmedo,198
Leo Palin,198
Werner Zirngibl,197
Tallon Griekspoor,197
Juan Avendano,197
Tom Cain,196
Gabriel Urpi,196
Takao Suzuki,196
Peter Wessels,195
Facundo Bagnis,195
Bud Schultz,195
Grega Zemlja,195
John Paish,194
Deon Joubert,194
Martin Strelba,194
Jonathan Smith,193
Arthur Rinderknech,192
Alvaro Betancur,192
Marcos Aurelio Gorriz,192
Patrick Hombergen,192
Frederik Fetterlein,192
Yannick Hanfmann,190
Frank Gebert,189
Andreas Beck,189
Jan Norback,189
Stephane Robert,189
Tenny Svensson,187
Mike Machette,186
Birger Andersson,185
Eduardo Schwank,185
Sebastian Baez,185
Attila Savolt,185
Laurence Tieleman,185
Jan Hajek,185
Alberto Tous,184
Bob Green,184
David Schneider,183
Alvaro Fillol,183
Robert Kendrick,183
Wayne Odesnik,183
Christo Steyn,182
Federico Coria,182
Chris Kachel,182
Robin Drysdale,182
Wolfgang Popp,181
Jim Gurfein,181
Gene Scott,181
Jiri Granat,181
Ivo Heuberger,181
Dan Cassidy,180
Pavel Hutka,180
Mark Petchey,179
Steve Bryan,178
Carl Limberger,178
Marc Flur,177
Alex Radulescu,176
Sam Groth,176
William Brown,176
Elias Ymer,176
Michal Tabara,175
Alex Molcan,174
Flavio Cipolla,174
Ivo Minar,174
Tommy Ho,174
Tatsuma Ito,174
Maxime Cressy,173
Santiago Ventura,173
Bruce Derlin,173
Juan Balcells,172
Terry Rocavert,172
Jimmy Wang,171
Jenson Brooksby,171
